sheet_row,unique_skill_weapon,raw_name,inferred_skill_name,status,match_source,matched_skill_ids,matched_weapon_ids,matched_weapon_names
1100,Great Katana,Overhead Stance R1,Overhead Stance,matched,skill_id+weapon,4110,66500000,Great Katana
1101,Great Katana,Overhead Stance R2 [1],Overhead Stance,matched,skill_id+weapon,4110,66500000,Great Katana
1102,Great Katana,Overhead Stance R2 [2],Overhead Stance,matched,skill_id+weapon,4110,66500000,Great Katana
1103,Great Katana,Overhead Stance R2 [3],Overhead Stance,matched,skill_id+weapon,4110,66500000,Great Katana
1104,Great Katana,Overhead Stance R1 (Lacking FP),Overhead Stance,matched,skill_id+weapon,4110,66500000,Great Katana
1105,Great Katana,Overhead Stance R2 [1] (Lacking FP),Overhead Stance,matched,skill_id+weapon,4110,66500000,Great Katana
1106,Great Katana,Overhead Stance R2 [2] (Lacking FP),Overhead Stance,matched,skill_id+weapon,4110,66500000,Great Katana
1107,Great Katana,Overhead Stance R2 [3] (Lacking FP),Overhead Stance,matched,skill_id+weapon,4110,66500000,Great Katana
1112,Beast Claw,Savage Claws [1],Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1113,Beast Claw,Savage Claws [2],Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1114,Beast Claw,Savage Claws [3],Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1115,Beast Claw,Savage Claws [4],Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1116,Beast Claw,Savage Claws [5],Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1117,Beast Claw,Savage Claws [6],Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1118,Beast Claw,Savage Claws [1] (Lacking FP),Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1119,Beast Claw,Savage Claws [2] (Lacking FP),Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1120,Beast Claw,Savage Claws [3] (Lacking FP),Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1121,Beast Claw,Savage Claws [4] (Lacking FP),Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1122,Beast Claw,Savage Claws [5] (Lacking FP),Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1123,Beast Claw,Savage Claws [6] (Lacking FP),Savage Claws,matched,skill_id+weapon,4070,68500000,Beast Claw
1124,Beast Claw,Raging Beast,Raging Beast,matched,weapon_name_fallback,4070,68500000,Beast Claw
